example_idx,task_txt,program1_idx,plan1_grid_path,program2_idx,plan2_grid_path
1,Task: How to Muddle,1,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_0_bridge.png,2,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_0_bridge.png
2,Task: How to Muddle,3,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_0_bridge.png,4,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/vgt-u-plan/plan_grid_task_0.png
3,Task: How to Muddle,5,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_0_bridge.png,6,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/vgt-u-plan/plan_grid_task_0.png
4,Task: How to Muddle,7,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_0_bridge.png,8,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/vgt-u-plan/plan_grid_task_0.png
5,Task: How to Muddle,9,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_0_bridge.png,10,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/vgt-u-plan/plan_grid_task_0.png
6,Task: How to Get Kids to Eat Healthy,11,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_1_bridge.png,12,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_1_bridge.png
7,Task: How to Get Kids to Eat Healthy,13,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_1_bridge.png,14,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/vgt-u-plan/plan_grid_task_1.png
8,Task: How to Get Kids to Eat Healthy,15,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_1_bridge.png,16,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/vgt-u-plan/plan_grid_task_1.png
9,Task: How to Get Kids to Eat Healthy,17,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_1_bridge.png,18,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/vgt-u-plan/plan_grid_task_1.png
10,Task: How to Get Kids to Eat Healthy,19,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_1_bridge.png,20,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/vgt-u-plan/plan_grid_task_1.png
11,Task: How to Substitute for Mustard Seed,21,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_2_bridge.png,22,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_2_bridge.png
12,Task: How to Substitute for Mustard Seed,23,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_2_bridge.png,24,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/vgt-u-plan/plan_grid_task_2.png
13,Task: How to Substitute for Mustard Seed,25,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_2_bridge.png,26,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/vgt-u-plan/plan_grid_task_2.png
14,Task: How to Substitute for Mustard Seed,27,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_2_bridge.png,28,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/vgt-u-plan/plan_grid_task_2.png
15,Task: How to Substitute for Mustard Seed,29,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_2_bridge.png,30,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/vgt-u-plan/plan_grid_task_2.png
16,Task: How to Cook White Cabbage,31,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_3_bridge.png,32,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_3_bridge.png
17,Task: How to Cook White Cabbage,33,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_3_bridge.png,34,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/vgt-u-plan/plan_grid_task_3.png
18,Task: How to Cook White Cabbage,35,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_3_bridge.png,36,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/vgt-u-plan/plan_grid_task_3.png
19,Task: How to Cook White Cabbage,37,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_3_bridge.png,38,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/vgt-u-plan/plan_grid_task_3.png
20,Task: How to Cook White Cabbage,39,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_3_bridge.png,40,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/vgt-u-plan/plan_grid_task_3.png
21,Task: How to Cook Dungeness Crab,41,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_4_bridge.png,42,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_4_bridge.png
22,Task: How to Cook Dungeness Crab,43,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_4_bridge.png,44,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/vgt-u-plan/plan_grid_task_4.png
23,Task: How to Cook Dungeness Crab,45,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_4_bridge.png,46,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/vgt-u-plan/plan_grid_task_4.png
24,Task: How to Cook Dungeness Crab,47,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_4_bridge.png,48,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/vgt-u-plan/plan_grid_task_4.png
25,Task: How to Cook Dungeness Crab,49,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_4_bridge.png,50,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/vgt-u-plan/plan_grid_task_4.png
